,City,Cloudiness,Country,Date,Humidity,Temp,Lat,Lng,Wind Speed
26,Upernavik,100,GL,1585014896,72,-0.22,72.79,-56.15,10.89
27,Topolobampo,40,MX,1585014897,29,77.0,25.6,-109.05,23.04
28,Laguna,1,US,1585014898,54,57.99,38.42,-121.42,14.99
29,Castro,31,BR,1585014647,96,55.58,-24.79,-50.01,6.6
30,Geraldton,0,AU,1585014900,31,89.6,-28.77,114.6,23.04
31,Port Alfred,97,ZA,1585014901,95,66.0,-33.59,26.89,1.01
32,Pangody,75,RU,1585014902,88,20.66,65.85,74.49,19.19
33,Kasongo-Lunda,80,CD,1585014903,98,66.2,-6.47,16.82,1.97
34,Chui,0,UY,1585014904,83,69.8,-33.7,-53.46,12.77
35,Camacha,40,PT,1585014905,77,60.8,33.08,-16.33,14.99
36,Cape Town,73,ZA,1585014906,82,66.0,-33.93,18.42,11.41
37,Nchelenge,91,ZM,1585014907,94,67.64,-9.35,28.73,8.3
38,Urusha,100,RU,1585014908,81,32.18,54.05,122.9,0.49
39,Inhambane,99,MZ,1585014909,80,77.9,-23.86,35.38,4.43
40,Pakokku,0,MM,1585014912,31,84.74,21.33,95.1,13.65
41,Ilhabela,9,BR,1585014913,72,75.92,-23.78,-45.36,16.06
42,Butaritari,100,KI,1585014914,77,84.2,3.07,172.79,21.61
43,Oodweyne,15,SO,1585014915,77,71.42,9.41,45.06,9.42
44,Marquette,100,US,1585014916,81,32.0,46.53,-87.63,1.01
45,Srīvardhan,0,IN,1585014917,66,79.52,18.03,73.02,2.93
46,Yulara,75,AU,1585014918,26,82.4,-25.24,130.99,14.99
47,Clyde River,75,CA,1585014919,83,-13.0,70.47,-68.59,6.93
48,Codrington,100,AU,1585014920,68,58.46,-38.27,141.97,10.8
49,Klaksvík,100,FO,1585014921,80,41.0,62.23,-6.59,10.29
50,Burley,75,US,1585014922,46,50.0,42.54,-113.79,10.29
51,Bluff,94,NZ,1585014923,91,51.01,-46.6,168.33,11.01
52,Lüderitz,0,NA,1585014924,82,60.8,-26.65,15.16,9.17
53,San Quintín,0,MX,1585014633,72,59.18,30.48,-115.95,15.08
54,Yellowknife,5,CA,1585014926,45,3.2,62.46,-114.35,10.29
55,São Raimundo das Mangabeiras,98,BR,1585014928,90,74.66,-7.02,-45.48,3.69
56,Bakchar,0,RU,1585014929,89,8.06,57.02,82.07,3.62
57,Dromolaxia,0,CY,1585014930,87,53.6,34.88,33.59,6.93
58,Mīrābād,0,AF,1585014931,39,60.26,30.44,61.84,5.53
59,Cidreira,2,BR,1585014816,78,73.76,-30.18,-50.21,26.6
60,Korostyshiv,0,UA,1585014933,59,25.7,50.32,29.06,8.01
61,Bambous Virieux,75,MU,1585014934,94,78.8,-20.34,57.76,10.29
62,Lebu,95,CL,1585014935,98,58.1,-37.62,-73.65,6.4
63,Waitati,100,NZ,1585014936,76,55.0,-45.75,170.57,3.0
64,Dikson,0,RU,1585014937,92,9.32,73.51,80.55,8.37
65,Torbay,20,CA,1585014938,73,27.0,47.67,-52.73,16.11
66,Zimovniki,100,RU,1585014939,74,32.54,47.15,42.46,16.82
67,Ponta do Sol,75,PT,1585014943,77,60.8,32.67,-17.1,14.99
68,Vaini,20,TO,1585014945,74,84.2,-21.2,-175.2,6.93
69,Takoradze,100,GH,1585014946,96,75.2,4.88,-1.76,4.43
70,Grand Gaube,75,MU,1585014947,94,78.8,-20.01,57.66,10.29
71,Atuona,38,PF,1585014948,77,82.58,-9.8,-139.03,10.58
72,Pevek,100,RU,1585014949,85,25.16,69.7,170.31,7.47
73,Hay River,20,CA,1585014950,65,3.2,60.82,-115.8,2.24
74,Kabalo,34,CD,1585014951,98,69.08,-6.05,26.92,4.47
75,Bonfim,0,BR,1585014952,65,82.58,3.08,-59.95,5.1
76,Souillac,75,MU,1585014953,94,78.8,-20.52,57.52,10.29
77,Hong Kong,20,HK,1585014924,73,80.01,22.29,114.16,16.11
78,Ternate,100,ID,1585014955,70,83.48,0.8,127.4,6.44
79,Homer,1,US,1585014957,74,42.8,59.64,-151.55,6.93
80,Norman Wells,40,CA,1585014958,47,12.2,65.28,-126.83,12.75
81,Kruisfontein,100,ZA,1585014959,96,60.08,-34.0,24.73,4.81
82,Chachapoyas,81,PE,1585014960,97,52.88,-6.23,-77.87,2.28
83,Cabo San Lucas,5,MX,1585014961,50,75.2,22.89,-109.91,6.93
84,Kenai,1,US,1585014962,64,37.4,60.55,-151.26,10.29
85,Port Blair,0,IN,1585014921,64,81.5,11.67,92.75,13.2
86,Santa Lucía,40,ES,1585014964,67,63.0,27.91,-15.54,10.29
87,Kangaba,100,ML,1585014965,47,82.22,11.93,-8.42,7.11
88,Redcliffe,90,AU,1585014852,61,80.01,-27.23,153.1,8.05
89,Tecpan,1,GT,1585014967,46,69.8,14.76,-90.99,16.11
90,Yumen,67,CN,1585014968,20,55.76,40.28,97.2,11.03
91,Lompoc,75,US,1585014731,72,60.8,34.64,-120.46,8.05
92,Pasān,31,IN,1585014970,34,80.78,22.85,82.2,1.25
93,Fortuna,90,US,1585014971,66,51.8,40.6,-124.16,4.7
94,Kavaratti,0,IN,1585014972,70,83.3,10.57,72.64,8.46
95,Boyolangu,35,ID,1585014974,67,84.74,-8.12,111.89,4.34
96,Northam,47,GB,1585014975,93,44.01,51.03,-4.22,7.81
97,Itarema,96,BR,1585014976,91,74.48,-2.92,-39.92,3.02
98,Saint George,0,US,1585014725,75,55.4,37.1,-113.58,5.82
99,Kiruna,100,SE,1585014978,68,30.2,67.86,20.23,16.11
100,Valparaíso,0,CL,1585014979,87,59.0,-33.04,-71.63,6.24
101,Lagoa,22,PT,1585014980,81,59.72,39.05,-27.98,21.23
102,Kushiro,75,JP,1585014981,61,32.0,42.98,144.37,10.29
103,Haimen,90,CN,1585014982,46,69.8,23.19,116.61,6.71
104,Vardø,94,NO,1585014983,82,32.9,70.37,31.11,34.87
105,Batagay-Alyta,100,RU,1585014984,89,1.58,67.8,130.41,2.73
106,Bocaiúva,26,BR,1585014985,90,63.14,-17.11,-43.81,9.57
107,Nikolskoye,0,RU,1585014986,68,24.8,59.7,30.79,4.47
108,Saint Paul Harbor,1,US,1585014987,25,51.8,57.79,-152.41,16.11
109,Busselton,89,AU,1585014989,30,81.0,-33.65,115.33,6.04
110,Rudnya,0,RU,1585014990,54,24.98,54.95,31.09,4.63
111,Akdepe,1,TM,1585014991,27,42.8,42.06,59.38,11.41
112,Semey,40,KZ,1585014992,62,21.2,50.41,80.23,13.42
113,Carnarvon,0,AU,1585014993,26,93.2,-24.87,113.63,14.99
114,Hermanus,67,ZA,1585014994,84,60.01,-34.42,19.23,12.75
115,Padang,100,ID,1585014995,61,83.12,-0.95,100.35,1.88
116,Varhaug,91,NO,1585014996,75,42.01,58.61,5.65,25.28
117,College,90,US,1585014997,80,35.6,64.86,-147.8,6.93
118,Vao,16,NC,1585014998,71,76.64,-22.67,167.48,17.02
119,Bulgan,93,MN,1585014999,75,35.42,48.81,103.53,12.33
120,Balabac,100,PH,1585015000,66,85.82,7.99,117.06,11.48
121,Tafresh,100,IR,1585015001,87,30.92,34.69,50.01,8.79
122,Lere,94,NG,1585015002,66,74.66,10.39,8.57,8.61
123,Saint Lawrence,75,MT,1585015003,87,55.4,36.06,14.2,6.93
124,Biak,100,ID,1585015005,80,79.7,-0.91,122.88,13.73
125,Husavik,90,IS,1585015006,74,35.6,66.04,-17.34,40.26
126,San Juan Bautista,100,PE,1585015007,88,72.0,-14.01,-75.74,21.92
127,Trairi,77,BR,1585015008,91,73.4,-3.28,-39.27,0.56
128,Barrow,90,US,1585014902,78,8.6,71.29,-156.79,5.82
129,Leshan,100,CN,1585015010,51,72.86,29.56,103.76,4.47
130,Santoña,0,ES,1585015011,93,53.01,43.44,-3.46,2.24
131,Enshi,80,CN,1585015013,72,64.22,30.3,109.48,3.31
132,Kuusamo,90,FI,1585015014,86,32.0,65.97,29.18,20.8
133,Khatanga,98,RU,1585015015,92,-5.44,71.97,102.5,12.86
134,Wanaka,98,NZ,1585015016,43,49.82,-44.7,169.15,3.24
135,Meybod,47,IR,1585014895,65,44.6,32.25,54.02,2.24
136,Esperance,32,AU,1585015018,68,68.0,-33.87,121.9,13.87
137,Dobre Miasto,0,PL,1585015019,54,26.06,53.99,20.4,1.34
138,Hilo,90,US,1585015020,78,73.0,19.73,-155.09,10.8
139,Palafrugell,90,ES,1585015021,93,53.01,41.92,3.16,6.93
140,Troitskoye,0,RU,1585015022,88,13.64,52.98,84.68,4.99
141,Kabare,100,CD,1585015023,95,57.2,-2.47,28.82,0.4
142,Qaanaaq,100,GL,1585015024,98,-3.46,77.48,-69.36,4.59
143,Vallenar,0,CL,1585015026,63,58.82,-28.57,-70.76,1.86
144,Gorontalo,85,ID,1585015027,58,87.08,0.54,123.06,4.43
145,Snezhnogorsk,100,RU,1585015028,64,33.8,69.19,33.25,13.42
146,Katsuura,20,JP,1585015029,34,54.0,35.13,140.3,31.09
147,Owensboro,1,US,1585014897,100,50.0,37.77,-87.11,6.93
148,Provideniya,90,RU,1585015031,94,32.0,64.38,-173.3,15.66
149,Hithadhoo,61,MV,1585015032,72,84.02,-0.6,73.08,9.73
150,Necochea,100,AR,1585015033,69,70.0,-38.55,-58.74,11.01
151,Thompson,75,CA,1585015034,49,26.6,55.74,-97.86,2.24
152,Voyvozh,0,RU,1585015035,93,15.98,62.89,54.96,7.18
153,Eppingen,0,DE,1585015036,68,35.01,49.14,8.91,8.05
154,Meulaboh,86,ID,1585015037,76,82.04,4.14,96.13,5.39
155,Saskylakh,0,RU,1585015038,91,-19.48,71.92,114.08,4.14
156,Chokurdakh,0,RU,1585015039,89,0.68,70.63,147.92,7.58
157,Arraial do Cabo,0,BR,1585015040,65,75.92,-22.97,-42.03,9.86
158,Ferkessédougou,100,CI,1585015041,92,72.86,9.6,-5.2,12.8
159,Opuwo,70,NA,1585014783,62,68.9,-18.06,13.84,4.45
160,Bouza,33,NE,1585015044,17,80.06,14.42,6.04,4.52
161,New Norfolk,20,AU,1585015045,47,64.99,-42.78,147.06,8.05
162,Longyearbyen,90,SJ,1585015046,85,19.4,78.22,15.64,36.91
163,Nemuro,75,JP,1585015047,74,32.0,43.32,145.57,9.17
164,Garoowe,100,SO,1585015048,72,76.1,8.41,48.48,12.44
165,Saint-Pierre,96,RE,1585015049,83,77.0,-21.34,55.48,5.82
166,Aklavik,90,CA,1585015050,56,14.0,68.22,-135.01,6.93
167,Bend,20,US,1585015051,64,44.6,44.06,-121.32,7.67
168,Kavieng,23,PG,1585015052,69,84.56,-2.57,150.8,6.58
169,Iqaluit,90,CA,1585015053,78,15.8,63.75,-68.51,9.17
170,Tuktoyaktuk,75,CA,1585015054,71,5.0,69.45,-133.04,11.41
171,Leningradskiy,100,RU,1585015055,73,31.28,69.38,178.42,4.97
172,Kieta,15,PG,1585015057,73,83.48,-6.22,155.63,5.48
173,Qandala,41,SO,1585015058,72,80.06,11.47,49.87,5.17
174,Roebourne,0,AU,1585015059,22,99.5,-20.78,117.13,8.55
175,East London,90,ZA,1585015060,89,73.58,-33.02,27.91,12.08
176,Natal,40,BR,1585015061,83,82.4,-5.79,-35.21,1.12
177,Monzón,90,ES,1585015062,93,51.01,41.91,0.19,11.41
178,Bengkulu,77,ID,1585014823,58,88.34,-3.8,102.27,1.54
179,San Policarpo,100,PH,1585015064,70,81.86,12.18,125.51,12.5
180,Vuktyl,100,RU,1585015065,95,19.58,63.86,57.31,8.95
181,Hobart,20,AU,1585014936,47,64.99,-42.88,147.33,8.05
182,Ribeira Grande,67,PT,1585015067,88,56.48,38.52,-28.7,17.63
183,Lata,40,PT,1585015068,93,55.0,40.16,-8.33,2.24
184,Fare,25,PF,1585015069,64,84.02,-16.7,-151.02,1.41
185,Behbahān,0,IR,1585015070,86,39.2,30.6,50.24,1.77
186,Tarauacá,32,BR,1585015072,96,71.78,-8.16,-70.77,1.52
187,Sítio Novo do Tocantins,80,BR,1585015073,95,73.76,-5.52,-47.46,2.46
188,Lucea,20,JM,1585015074,78,78.8,18.45,-78.17,3.36
189,Faya,20,SA,1585015075,87,57.2,18.39,42.45,5.82
190,Aykhal,98,RU,1585015076,75,-20.2,66.0,111.5,8.95
191,Te Anau,100,NZ,1585015077,80,47.12,-45.42,167.72,4.38
192,Saint-Philippe,75,RE,1585015078,83,77.0,-21.36,55.77,5.82
193,Kushima,20,JP,1585015079,48,60.8,31.46,131.23,11.41
194,Bethel,90,US,1585015080,86,37.99,41.37,-73.41,16.11
195,Lavrentiya,33,RU,1585015081,89,30.2,65.58,-171.0,10.13
196,Mahébourg,75,MU,1585015082,94,78.8,-20.41,57.7,10.29
197,Pacific Grove,90,US,1585015083,71,55.4,36.62,-121.92,8.05
198,Turukhansk,100,RU,1585015084,95,0.32,65.82,87.98,17.22
199,Qui Nhon,15,VN,1585015054,52,85.46,13.77,109.23,4.97
200,Tuatapere,100,NZ,1585015086,91,51.01,-46.13,167.68,11.01
201,Mazagão,75,BR,1585015087,100,78.8,-0.12,-51.29,3.36
202,Zeya,100,RU,1585015092,88,27.68,53.75,127.27,8.08
203,Caldwell,75,US,1585015093,57,54.0,43.66,-116.69,16.11
204,Mar del Plata,100,AR,1585015061,72,69.01,-38.0,-57.56,11.41
205,Bonavista,97,CA,1585015095,71,27.0,48.65,-53.11,14.0
206,Imarichō-kō,20,JP,1585015096,41,63.0,33.27,129.88,8.05
207,Santa Cruz de la Sierra,75,BO,1585014823,88,78.8,-17.8,-63.17,3.36
208,Horta,67,PT,1585015098,88,56.48,38.53,-28.63,17.63
209,Tadine,79,NC,1585015099,68,78.98,-21.55,167.88,14.45
210,Lorengau,95,PG,1585015100,77,83.12,-2.02,147.27,12.12
211,Ixtapa,5,MX,1585015101,73,77.0,20.7,-105.2,8.05
212,Kokoda,100,PG,1585015102,85,72.68,-8.88,147.74,2.86
213,Sisimiut,100,GL,1585015103,81,6.8,66.94,-53.67,17.16
214,Kosino,0,RU,1585015104,84,17.96,58.41,51.28,10.58
215,Khudumelapye,32,BW,1585015105,50,64.76,-23.88,24.75,4.0
216,Avarua,100,CK,1585015106,83,84.2,-21.21,-159.78,9.17
217,São Filipe,54,CV,1585015107,75,67.64,14.9,-24.5,13.04
218,Narsaq,40,GL,1585015109,49,23.0,60.92,-46.05,5.82
219,Tilichiki,100,RU,1585015110,96,32.0,60.47,166.1,5.21
220,Rundu,100,NA,1585015111,100,69.8,-17.93,19.77,6.93
221,Havøysund,75,NO,1585015112,69,37.4,71.0,24.66,34.45
222,George Town,20,MY,1585014999,79,84.2,5.41,100.34,5.82
223,Udachny,65,RU,1585015114,75,-20.2,66.42,112.4,8.95
224,Tiksi,100,RU,1585015115,96,-12.64,71.69,128.87,10.31
225,Atasū,0,KZ,1585015116,91,13.1,48.68,71.64,12.44
226,Novaya Ladoga,0,RU,1585015117,55,26.42,60.1,32.3,6.42
227,Myitkyina,46,MM,1585015118,50,76.82,25.38,97.4,3.33
228,Dunedin,100,NZ,1585015119,76,55.99,-45.87,170.5,1.99
229,Kiama,75,AU,1585015121,64,71.6,-34.68,150.87,6.93
230,Savinka,100,RU,1585015122,69,27.86,50.08,47.1,11.36
231,Severo-Kuril'sk,100,RU,1585015123,98,30.92,50.68,156.12,5.66
232,Leh,100,IN,1585015124,51,14.36,34.17,77.58,4.12
233,Tomatlán,0,MX,1585015125,88,70.7,19.93,-105.25,2.21
234,Lagdo,37,CM,1585015126,43,84.92,9.05,13.73,1.79
235,Oddur,100,SO,1585015127,78,74.3,4.12,43.89,14.67
236,Roald,90,NO,1585015128,80,46.4,62.58,6.13,19.46
237,Macamic,75,CA,1585015132,58,30.2,48.75,-79.0,3.36
238,Redlands,90,US,1585015133,62,62.01,34.06,-117.18,11.41
239,Manggar,94,ID,1585015134,74,81.68,-2.88,108.27,2.39
240,Nanning,79,CN,1585015135,88,73.4,22.82,108.32,2.24
241,Ijuí,0,BR,1585014929,53,75.2,-28.39,-53.91,3.36
242,Vitim,94,RU,1585015138,80,16.16,59.45,112.56,11.16
243,Chumikan,0,RU,1585015139,56,34.34,54.72,135.31,5.06
244,Pala,67,TD,1585015140,27,86.18,9.36,14.9,3.62
245,Namie,75,JP,1585015141,55,48.0,37.48,141.0,17.22
246,Alofi,5,NU,1585015142,75,82.94,-19.06,-169.92,10.94
247,Abu Samrah,22,SY,1585015143,60,51.26,35.3,37.18,6.78
248,Tessalit,97,ML,1585015144,21,69.08,20.2,1.01,2.39
249,Zhangye,0,CN,1585015145,17,58.46,38.93,100.45,12.15
250,Panzhihua,0,CN,1585015146,45,66.0,26.59,101.71,0.56
251,Kununurra,100,AU,1585015147,44,93.2,-15.77,128.73,4.7
252,Rosarito,40,MX,1585015148,48,62.6,32.33,-117.03,8.05
253,Mocuba,25,MZ,1585015149,96,69.44,-16.84,36.99,2.15
254,Kiryat Gat,0,IL,1585015150,52,64.4,31.61,34.76,9.17
255,Itaituba,71,BR,1585015152,97,73.04,-4.28,-55.98,0.56
256,Walvis Bay,6,NA,1585015153,93,62.01,-22.96,14.51,14.99
257,Henties Bay,7,NA,1585015154,91,62.01,-22.12,14.28,5.01
258,Boshnyakovo,66,RU,1585015155,72,27.32,49.63,142.17,18.16
259,Sokoto,100,NG,1585015156,46,82.04,13.06,5.24,8.52
260,Vereeniging,0,ZA,1585015157,95,55.99,-26.67,27.93,1.39
261,Ahipara,35,NZ,1585015158,67,63.14,-35.17,173.17,20.42
262,Mossamedes,100,AO,1585015159,90,74.12,-15.2,12.15,6.06
263,Kumul,100,CN,1585015160,39,43.88,42.8,93.45,23.67
264,Nefteyugansk,100,RU,1585015161,72,17.6,61.1,72.6,11.18
265,San Patricio,5,MX,1585015162,78,80.6,19.22,-104.7,5.99
266,Srednekolymsk,0,RU,1585015163,77,8.42,67.45,153.68,6.44
267,Kargopol',0,RU,1585015164,84,18.86,61.51,38.95,5.46
268,Tura,0,IN,1585015165,34,82.4,25.52,90.22,5.03
269,Isangel,75,VU,1585015166,74,84.2,-19.55,169.27,13.87
270,Banda Aceh,0,ID,1585015168,56,85.64,5.56,95.32,6.13
271,Verāval,70,IN,1585015169,34,83.3,20.9,70.37,10.33
272,Indianola,90,US,1585015170,87,44.6,41.36,-93.56,4.7
273,Bubaque,100,GW,1585015171,67,75.92,11.28,-15.83,16.71
274,Tungor,0,RU,1585015172,86,23.36,53.38,142.96,10.85
275,Morant Bay,20,JM,1585015173,65,82.4,17.88,-76.41,8.05
276,Araouane,41,ML,1585015174,15,72.14,18.9,-3.53,10.29
277,Cockburn Town,0,TC,1585015037,73,75.92,21.46,-71.14,19.51
278,Muzhi,100,RU,1585015176,79,24.8,65.37,64.67,13.73
279,Persianovskiy,20,RU,1585015177,63,28.99,47.51,40.11,15.66
280,Petropavlovsk-Kamchatskiy,90,RU,1585015178,100,35.6,53.05,158.65,11.18
281,Krasnoshchekovo,100,RU,1585015179,96,11.3,51.67,82.73,4.59
282,Karratha,0,AU,1585015180,67,86.36,-20.74,116.85,12.53
283,San Rafael,11,AR,1585015141,31,74.3,-34.62,-68.33,4.18
284,Jammalamadugu,0,IN,1585015182,51,83.48,14.83,78.4,7.2
285,Nizza Monferrato,93,IT,1585015183,90,42.01,44.77,8.35,1.99
286,Bilibino,100,RU,1585015185,85,23.9,68.05,166.44,17.29
287,Pitsunda,75,GE,1585015186,93,45.0,43.16,40.34,6.71
288,Huarmey,91,PE,1585015187,77,70.52,-10.07,-78.15,1.92
289,Mahon,26,ES,1585015188,82,55.4,39.89,4.27,14.99
290,Sargatskoye,0,RU,1585015189,91,11.66,55.61,73.5,4.79
291,Mineral Wells,90,US,1585015190,100,70.0,32.81,-98.11,9.17
292,Manokwari,100,ID,1585015051,91,75.74,-0.87,134.08,3.4
293,Shingū,20,JP,1585015192,32,53.6,33.73,135.98,17.22
294,Makanya,98,TZ,1585015196,98,67.28,-4.37,37.83,4.34
295,Talnakh,75,RU,1585015197,84,5.0,69.49,88.4,31.32
296,Cherskiy,34,RU,1585015198,79,7.88,68.75,161.3,4.45
297,Banjar,20,ID,1585015199,83,84.2,-8.19,114.97,2.24
298,Makat,24,KZ,1585015201,60,40.1,47.65,53.35,13.91
299,Coquimbo,0,CL,1585015202,82,62.6,-29.95,-71.34,2.24
300,Buluang,0,PH,1585015203,54,84.02,13.31,123.34,7.16
301,Chapais,90,CA,1585015204,86,28.4,49.78,-74.85,9.17
302,Fremont,75,US,1585015205,71,55.4,37.55,-121.99,13.87
303,Tasiilaq,100,GL,1585015206,92,24.8,65.61,-37.64,4.7
304,Vila Velha,40,BR,1585015118,73,75.2,-20.33,-40.29,10.29
305,Terra Nova,98,BR,1585015208,96,71.96,-12.37,-40.67,4.32
306,Kutum,12,SD,1585015209,21,60.98,14.2,24.67,3.24
307,Baker City,40,US,1585015162,39,52.0,44.77,-117.83,13.87
308,Gairo,5,IT,1585015211,45,46.4,39.85,9.5,31.09
309,Roccastrada,0,IT,1585015212,58,39.99,43.01,11.17,5.82
310,Iquitos,90,PE,1585014914,94,75.2,-3.75,-73.25,2.24
311,Airai,78,TL,1585015215,48,81.5,-8.93,125.41,6.26
312,Lovozero,100,RU,1585015216,88,24.8,68.0,35.01,8.41
313,Palmer,90,US,1585015217,97,35.6,42.16,-72.33,13.87
314,Zhigansk,100,RU,1585015218,94,-0.04,66.77,123.37,22.12
315,Havre-St-Pierre,75,CA,1585015219,79,23.0,50.23,-63.6,6.93
316,Alugan,100,PH,1585015220,70,81.86,12.22,125.48,12.5
317,Ilulissat,100,GL,1585015221,61,12.2,69.22,-51.1,12.75
318,Koungou,15,YT,1585015222,88,78.8,-12.73,45.2,4.7
319,Kjøllefjord,100,NO,1585015223,78,35.78,70.95,27.35,21.25
320,Saldanha,52,ZA,1585015224,82,59.0,-33.01,17.94,5.82
321,Samarai,50,PG,1585015225,78,84.02,-10.62,150.67,8.25
322,Yabassi,75,CM,1585015226,88,78.8,4.46,9.97,2.24
323,Aden,40,YE,1585015171,76,80.42,12.78,45.04,9.46
324,Marzuq,3,YE,1585015228,46,69.26,14.4,46.47,3.89
325,Xaxim,0,BR,1585015230,72,62.24,-26.96,-52.53,2.93
326,Hokitika,100,NZ,1585015231,71,53.06,-42.72,170.97,7.78
327,Antibes,90,FR,1585015232,58,50.0,43.56,7.13,23.04
328,Port Elizabeth,75,ZA,1585015233,72,66.2,-33.92,25.57,10.29
329,Río Gallegos,23,AR,1585014945,54,59.0,-51.62,-69.22,21.92
330,Moryakovskiy Zaton,0,RU,1585015235,77,7.0,56.7,84.65,2.24
331,Sobolevo,0,RU,1585015236,58,24.8,54.43,31.9,5.37
332,Poltavka,82,RU,1585015237,95,12.38,54.37,71.76,5.14
333,Moose Factory,1,CA,1585015238,92,28.4,51.26,-80.61,9.17
334,Parakai,66,NZ,1585015239,52,66.99,-36.65,174.43,23.04
335,Leticia,75,CO,1585015240,100,75.2,-4.22,-69.94,2.24
336,Pahrump,1,US,1585015241,41,62.01,36.21,-115.98,16.11
337,San Mateo del Mar,0,MX,1585015242,74,83.3,16.2,-95.0,9.46
338,‘Ewa Beach,40,US,1585015243,51,80.6,21.32,-158.01,16.11
339,Oyama,20,JP,1585015244,26,51.01,36.3,139.8,14.99
340,Chifeng,100,CN,1585015245,27,55.58,42.27,118.96,13.89
341,Bathsheba,40,BB,1585015247,74,78.8,13.22,-59.52,18.34
342,Tecolutla,5,MX,1585015248,69,80.6,20.48,-97.02,9.17
343,Le Port,100,RE,1585015088,94,77.0,-20.94,55.29,17.22
344,Caxito,95,AO,1585015250,87,75.56,-8.58,13.66,3.29
345,Korla,69,CN,1585015251,24,42.8,41.76,86.15,5.88
346,Ambilobe,0,MG,1585015252,89,72.68,-13.2,49.05,4.45
347,Vangaindrano,31,MG,1585015060,88,69.26,-23.35,47.6,3.31
348,Mount Gambier,75,AU,1585015254,58,59.0,-37.83,140.77,8.05
349,Whitehorse,40,CA,1585015046,42,26.6,60.72,-135.05,4.7
350,Baiersbronn,0,DE,1585015256,57,34.0,48.5,8.38,9.17
351,Cudalbi,100,RO,1585015257,49,29.84,45.78,27.7,17.52
352,Rodeo,75,US,1585015258,71,55.4,38.03,-122.27,13.87
353,Tabuk,54,PH,1585015259,58,83.48,17.42,121.44,5.79
354,Sucúa,100,EC,1585015261,95,63.68,-2.47,-78.17,2.57
355,Thaba Nchu,18,ZA,1585015262,93,59.0,-29.21,26.84,3.36
356,Honningsvåg,100,NO,1585015111,74,37.76,70.98,25.97,31.88
357,Gejiu,35,CN,1585015264,44,68.54,23.31,103.16,8.66
358,Zwedru,100,LR,1585015265,97,71.06,6.07,-8.13,1.14
359,Amahai,100,ID,1585015266,73,82.76,-3.33,128.92,5.7
360,San Jerónimo,100,PE,1585015268,91,43.88,-11.95,-75.28,2.64
361,Garça,0,BR,1585015048,65,68.0,-22.21,-49.66,7.0
362,Bahir Dar,33,ET,1585015270,30,58.46,11.59,37.39,1.88
363,Saint Anthony,1,US,1585015271,74,41.0,45.02,-93.22,5.82
364,Sakakah,40,SA,1585015272,20,57.2,29.97,40.21,4.7
365,Contamana,100,PE,1585015273,91,74.48,-7.33,-75.02,1.88
366,Erenhot,100,CN,1585015274,33,54.68,43.65,111.98,16.75
367,Oktyabr'skiy,100,RU,1585015275,87,34.16,54.48,53.47,15.12
368,Umeå,100,SE,1585015276,80,35.6,63.83,20.26,11.41
369,Egvekinot,100,RU,1585015277,96,26.24,66.32,-179.17,8.86
370,Nobeoka,0,JP,1585015213,39,61.34,32.58,131.67,5.7
371,Porto Walter,88,BR,1585015279,97,71.96,-8.27,-72.74,2.01
372,Hirara,75,JP,1585015281,73,73.4,24.8,125.28,13.87
373,Shelburne,90,CA,1585015282,98,37.4,44.08,-80.2,4.7
